iid,gender,condtn,age,field_cd,race,imprace,imprelig,income,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,match.prob
429,1,1,27,8,2,1,1,36381,2,2,7,7,8,8,9,8,8,8,6,7,9,8,8,8,8,8,7,6,7,0.166666667
430,0,2,22,9,4,3,10,65498,6,2,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5,0
431,0,2,27,9,4,5,8,54122,7,3,7,10,9,7,10,10,10,10,5,4,10,7,7,5,8,10,10,3,7,0.142857143
432,0,2,28,11,2,1,1,60000,6,3,11,2,2,2,10,10,10,7,1,6,6,4,9,8,8,7,5,5,4,0.461538462
433,0,2,30,15,6,3,3,22669,6,3,6,3,3,8,8,8,8,8,1,6,7,5,7,8,5,5,5,3,5,0.153846154
434,0,2,27,11,2,2,2,81266,4,2,15,4,2,9,6,3,3,3,2,7,2,6,2,2,4,7,8,4,3,0.076923077
435,0,2,22,1,1,1,1,49055,7,2,1,5,5,6,9,8,8,3,2,9,9,1,8,7,9,9,10,10,5,0.153846154
436,0,2,23,1,2,9,1,45274,6,1,1,8,5,9,10,8,7,8,5,1,9,10,8,10,6,10,10,4,5,0.153846154
437,0,2,23,11,2,2,6,29746,4,1,11,6,7,7,8,9,9,8,5,6,9,7,10,10,10,10,5,6,5,0.25
438,0,2,23,11,2,1,5,47556,4,1,11,3,1,8,9,5,5,8,4,7,6,5,7,9,10,9,8,3,4,0.142857143
439,0,2,29,9,2,1,5,42651,3,2,2,8,4,8,9,8,9,6,1,7,9,6,4,9,9,9,6,6,7,0.214285714
440,1,2,21,1,2,8,2,40273,7,2,1,10,10,10,10,7,7,7,3,1,3,5,5,10,8,10,8,5,7,0
441,1,2,24,1,2,4,2,36484,7,1,1,6,1,6,7,7,8,7,14,9,9,8,9,10,10,10,7,2,7,0.222222222
442,1,2,25,1,2,1,1,43734,6,1,1,7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2,1,6,0.333333333
443,1,2,27,13,3,1,3,27794,6,2,9,9,5,7,8,5,5,5,3,7,6,1,6,7,8,8,4,5,7,0
444,1,2,26,8,2,5,1,41737,4,2,7,8,8,9,2,6,8,6,2,5,2,7,1,10,3,5,5,6,3,0
445,1,2,30,13,2,1,1,90225,5,2,9,9,6,8,8,5,3,9,5,9,10,5,4,10,8,9,5,1,5,0.25
446,1,2,28,8,3,2,2,71359,4,3,7,9,2,9,8,8,7,6,3,6,6,5,6,6,5,8,3,3,7,0.4
447,1,2,26,13,4,1,1,67395,7,2,7,7,5,6,8,3,2,6,2,5,6,3,4,8,4,9,2,4,3,0.111111111
448,1,2,22,1,2,1,1,55080,2,1,7,3,2,4,9,8,9,3,5,9,7,3,6,7,6,10,6,5,3,0.5
449,1,2,23,1,6,7,1,52280,3,1,1,8,2,6,8,7,5,5,3,1,9,7,6,9,2,6,4,1,5,0.2
450,1,2,25,13,2,3,7,53957,6,2,9,7,3,9,9,9,9,9,9,3,5,7,9,10,9,10,5,10,3,0.2
451,1,2,30,8,4,3,1,54092,3,3,7,3,3,2,4,4,3,3,4,3,6,7,5,7,7,8,6,6,3,0
452,1,2,29,8,4,7,1,54755,5,3,7,9,6,8,7,8,7,8,7,9,8,7,8,9,8,10,5,3,7,0.1
453,1,2,27,1,4,4,3,56173,6,5,1,6,3,5,6,6,5,6,5,3,6,6,4,7,6,5,4,1,6,0.1
454,0,1,27,15,2,3,3,56056,7,3,2,5,8,5,9,9,9,7,1,4,9,4,9,9,8,8,4,9,5,0
455,0,1,24,10,4,5,5,54519,6,2,2,3,5,3,10,10,7,7,1,8,10,4,8,9,8,9,9,7,4,0
456,0,1,29,8,4,3,2,53147,6,1,7,1,1,8,8,7,7,6,2,8,8,4,7,7,6,6,8,8,2,0.2
457,0,1,55,6,4,1,1,60835,7,3,6,1,2,1,8,9,9,10,1,1,10,4,7,3,10,8,1,1,10,0
458,0,1,29,8,4,9,8,50368,4,1,7,9,1,6,10,8,6,9,3,6,9,7,8,8,4,1,10,9,5,0.333333333
459,0,1,26,8,4,6,1,62829,5,3,7,1,3,1,9,8,9,1,1,6,4,6,8,8,8,8,8,1,5,0
460,1,1,33,7,2,2,1,30038,4,2,2,9,7,10,10,10,10,8,1,7,9,10,6,9,10,10,1,5,8,0.166666667
461,1,1,27,5,6,2,2,38678,7,4,4,9,8,9,9,7,7,9,8,6,2,2,7,6,6,6,4,4,7,0
462,1,1,33,5,4,1,5,36153,6,6,2,8,7,5,2,6,6,1,2,7,3,8,5,7,6,9,2,2,8,0.166666667
463,1,1,23,10,4,3,2,35887,7,1,10,5,4,7,5,4,3,3,5,4,5,4,4,4,4,7,3,1,5,0
464,1,1,33,8,4,1,1,28696,3,1,7,10,9,6,7,3,3,5,5,9,3,4,6,7,7,7,2,1,5,0.166666667
465,1,1,23,7,2,1,3,16767,7,3,6,4,8,1,3,8,8,4,1,4,9,2,1,3,10,10,1,1,4,0
466,0,2,24,18,2,1,1,42967,7,1,10,4,2,9,8,5,6,4,3,2,8,5,5,7,6,8,4,2,5,0
467,0,2,24,8,2,7,4,21488,2,1,7,8,4,9,9,9,9,8,5,8,9,8,9,9,9,9,9,9,7,0.428571429
468,0,2,25,13,6,5,2,89977,6,3,2,8,3,7,7,7,8,8,2,6,8,7,5,9,9,9,7,6,4,0.2
469,0,2,25,13,4,1,1,55093,3,1,9,10,7,7,7,7,7,3,3,4,7,9,7,7,7,8,6,9,4,0.357142857
470,0,2,29,4,4,1,1,18619,4,2,4,1,1,1,10,10,10,2,1,3,10,5,10,10,6,6,10,1,4,0.333333333
471,0,2,30,4,4,8,8,29988,5,3,4,3,4,6,10,7,7,5,2,9,7,8,6,8,6,6,10,4,5,0.076923077
472,0,2,25,5,3,1,3,33192,4,2,5,10,6,7,9,9,8,9,1,7,8,1,10,10,10,10,5,9,4,0.133333333
473,0,2,34,10,4,1,1,36405,6,4,2,7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7,7,0.066666667
474,0,2,30,10,1,1,1,22161,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,0.307692308
475,0,2,27,13,3,1,2,82734,6,2,9,1,1,6,10,6,5,2,0,5,4,4,9,8,3,5,6,9,5,0.142857143
476,0,2,25,13,2,1,3,40163,5,2,9,4,1,7,9,5,5,4,1,7,3,3,3,3,3,7,6,3,5,0.133333333
477,0,2,27,5,3,5,7,50948,4,2,5,9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4,7,0
478,0,2,26,13,2,4,4,48728,4,1,7,9,7,9,7,7,9,9,3,3,8,4,7,9,8,9,4,6,4,0.133333333
479,0,2,27,13,2,3,3,46185,4,3,7,10,7,10,9,8,7,9,1,7,5,4,7,7,7,7,7,7,6,0
480,0,2,26,5,2,4,6,56370,4,1,5,7,1,8,9,9,9,3,1,6,10,3,3,4,4,4,5,7,4,0.214285714
481,1,2,23,9,2,8,1,78844,3,2,2,3,3,7,9,8,7,1,2,5,8,2,7,10,10,10,6,1,6,0.066666667
482,1,2,30,8,2,2,6,29575,6,1,7,9,7,5,9,6,5,8,2,5,9,6,7,7,2,4,4,3,4,0.307692308
483,1,2,28,3,2,1,1,42694,3,1,2,10,1,10,10,10,10,5,1,1,10,5,10,10,10,10,10,5,5,0
484,1,2,31,18,4,1,1,34752,6,4,15,7,3,5,9,9,9,9,3,7,9,1,9,9,9,9,2,7,6,0.142857143
485,1,2,29,3,1,4,3,39828,6,2,2,6,10,9,7,7,7,4,6,6,9,8,8,8,7,8,7,4,6,0.142857143
486,1,2,32,10,3,1,1,39676,6,2,4,7,1,3,10,8,6,4,1,9,8,1,7,10,5,8,2,2,8,0.071428571
487,1,2,24,6,4,1,1,30603,5,3,2,4,4,2,8,5,3,2,5,2,7,8,5,9,6,10,6,2,5,0
488,1,2,29,8,4,1,1,28807,2,3,7,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5,0.153846154
489,1,2,28,8,2,6,5,28822,2,1,7,7,7,7,9,9,9,6,9,9,6,6,9,9,9,7,6,5,6,0.5
490,1,2,29,14,2,6,1,27971,6,3,6,3,1,2,7,7,7,6,2,5,9,9,8,10,9,8,7,4,3,0.066666667
491,1,2,29,8,3,3,3,26438,4,1,7,9,2,9,9,9,8,9,7,9,8,2,7,8,8,9,9,6,5,0.266666667
492,1,2,30,10,6,1,1,22173,4,2,2,10,10,10,10,10,10,10,2,4,10,7,5,5,2,5,10,10,7,0.428571429
493,1,2,20,13,4,1,1,31671,6,5,13,10,10,7,7,4,4,3,3,6,7,10,8,8,7,7,10,6,10,0.076923077
494,1,2,30,6,2,2,8,37994,3,3,6,8,10,4,10,10,10,1,1,4,8,6,9,10,7,8,9,10,6,0.153846154
495,1,2,32,15,6,5,6,35409,2,1,6,7,5,6,7,5,6,7,7,6,5,6,7,7,6,5,5,6,6,0.166666667
496,0,1,23,5,4,1,1,23707,5,2,2,8,1,8,7,7,7,8,1,1,7,3,3,3,5,5,5,5,5,0.142857143
497,0,1,24,10,2,5,5,35859,7,1,2,7,5,1,8,7,6,7,3,1,7,8,6,9,9,8,8,7,6,0
498,0,1,25,10,2,9,9,33772,4,1,2,3,1,5,7,3,3,6,6,9,8,9,6,8,8,8,3,1,5,0
499,0,1,26,10,2,1,9,57501,4,1,2,1,1,1,9,9,9,2,1,8,9,6,8,10,10,10,5,1,4,0.285714286
500,0,1,25,10,1,7,9,25314,5,3,2,4,2,6,7,7,7,2,2,7,8,5,7,8,8,8,6,5,6,0.142857143
501,0,1,26,10,2,7,4,48876,4,3,2,5,4,8,8,9,9,6,1,3,9,7,9,9,9,10,7,6,7,0.142857143
502,1,1,26,5,4,1,1,39834,3,2,7,8,8,9,6,5,5,10,9,8,7,8,6,9,5,8,3,4,3,0
503,1,1,25,10,2,1,5,34870,6,5,2,2,4,4,8,8,8,7,5,2,6,5,7,8,9,9,7,7,5,0
504,1,1,23,5,2,1,1,35848,5,2,7,1,1,2,4,4,4,8,1,3,6,1,5,6,7,7,3,1,7,0.333333333
505,1,1,27,6,4,1,1,30233,4,1,6,10,6,10,5,10,10,9,7,1,10,10,10,10,10,10,10,10,6,0.166666667
506,1,1,24,2,4,5,5,45017,7,2,7,6,4,6,7,7,7,8,2,4,9,2,5,5,5,5,2,1,4,0
507,1,1,24,2,4,1,1,12416,7,3,2,10,9,10,9,9,8,7,4,5,8,5,7,6,6,8,3,2,5,0.166666667
508,1,1,36,2,4,1,5,87789,5,1,10,10,4,7,6,4,4,4,9,7,10,3,5,4,7,10,4,8,7,0.166666667
509,0,2,28,6,4,2,2,56746,4,2,16,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6,0.315789474
510,0,2,26,8,3,3,3,51119,7,2,2,8,1,4,10,8,7,10,5,7,9,1,3,9,7,5,1,7,5,0.285714286
511,0,2,23,5,4,2,2,51796,7,3,7,6,5,5,7,8,10,10,3,9,8,5,8,9,9,10,7,8,6,0.222222222
512,0,2,26,15,2,1,1,47634,3,2,6,1,1,1,8,9,10,8,0,9,9,6,10,9,7,10,5,5,4,0.052631579
513,0,2,23,15,2,1,1,50572,6,4,6,1,1,9,9,9,9,1,0,8,9,8,9,10,6,8,6,6,2,0.285714286
514,0,2,23,3,2,8,9,49642,4,3,2,5,3,7,7,8,10,2,2,1,8,6,10,8,9,10,6,7,7,0
515,0,2,23,6,2,8,5,20000,6,3,16,10,10,8,9,9,8,10,3,8,9,8,9,10,7,10,5,9,6,0.1
516,0,2,27,10,4,9,3,32508,6,3,2,3,3,6,10,9,9,5,5,8,9,6,9,4,9,9,9,3,2,0.285714286
517,0,2,30,15,3,1,1,32586,5,3,6,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,3,0
518,0,2,23,15,2,2,1,35627,7,2,6,4,2,5,8,6,7,5,5,9,9,8,8,8,6,8,9,4,2,0.272727273
519,0,2,26,9,2,8,9,41502,4,2,13,9,5,9,5,8,7,7,2,3,9,4,7,8,7,8,2,2,6,0
520,0,2,28,11,6,2,1,46280,7,1,9,4,6,8,8,10,8,5,2,9,10,8,9,8,5,5,8,2,5,0
521,0,2,26,11,2,3,1,41191,3,1,9,7,7,8,8,8,8,10,7,5,8,6,7,8,8,8,6,6,6,0.368421053
522,0,2,22,1,2,3,6,71787,6,2,1,6,6,6,7,8,9,3,3,7,9,8,10,10,7,7,5,3,5,0.2
523,0,2,27,9,4,3,2,66427,4,3,10,8,1,5,9,4,3,6,7,8,13,5,2,7,8,9,3,1,9,0.1
524,0,2,25,4,4,9,6,72412,7,4,4,4,1,7,9,8,8,6,3,8,7,7,8,8,5,5,7,5,6,0.619047619
525,0,2,24,15,2,2,8,36510,4,1,3,6,2,8,6,5,5,3,2,1,8,8,9,10,7,8,8,1,6,0
526,0,2,26,11,3,5,2,39823,5,3,11,2,1,3,10,10,7,6,5,10,8,4,10,8,6,8,4,10,6,0.095238095
527,0,2,24,11,6,5,5,32386,4,3,11,5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7,6,1,0
528,0,2,29,11,3,8,7,15863,6,1,11,5,8,4,2,2,2,8,6,2,2,2,3,7,3,3,2,2,4,0
529,0,2,22,5,4,4,1,24718,4,1,5,7,4,6,10,8,8,8,6,5,5,5,8,8,8,8,4,4,5,0.105263158
530,0,2,22,5,4,1,1,31954,7,3,10,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3,8,0.105263158
531,1,2,25,5,4,5,1,42552,7,2,2,10,10,6,6,10,10,10,6,6,6,10,10,10,8,10,1,6,7,0.05
532,1,2,26,5,4,8,3,46272,2,2,5,7,8,6,8,6,4,4,8,6,9,7,6,8,6,7,5,2,6,0.176470588
533,1,2,26,5,2,1,1,47550,6,2,2,7,3,5,7,5,5,7,2,5,3,1,5,7,6,7,2,2,5,0.1
534,1,2,24,5,6,1,1,49058,5,6,5,7,9,3,9,9,8,6,7,7,7,3,6,7,8,7,4,1,9,0.3
535,1,2,23,10,2,5,6,48137,5,3,2,4,3,4,7,7,6,2,8,8,8,6,6,9,8,9,5,6,6,0.380952381
536,1,2,29,2,2,1,1,55064,5,2,7,7,3,5,8,7,7,3,2,7,8,6,4,9,7,9,7,1,8,0.157894737
537,1,2,22,5,4,7,1,61686,5,1,1,6,6,7,10,8,8,3,3,6,10,8,10,10,10,10,10,1,7,0.1
538,1,2,32,5,2,1,1,58572,4,2,7,8,2,8,8,8,8,8,8,6,8,5,4,6,3,6,6,6,6,0.210526316
539,1,2,22,1,2,6,6,56951,4,1,1,8,9,8,9,9,9,4,6,8,8,6,7,9,7,7,7,6,7,0.105263158
540,1,2,24,5,2,5,1,50937,7,4,2,6,4,4,5,7,8,8,9,6,7,4,9,9,9,9,6,3,7,0.052631579
541,1,2,23,5,4,2,2,47170,7,3,7,10,10,7,8,3,5,4,3,8,3,10,5,10,10,9,9,3,7,0.047619048
542,1,2,23,5,4,7,1,42819,5,3,7,4,7,6,10,9,8,1,8,8,9,8,8,9,9,8,9,6,8,0.15
543,1,2,24,5,4,9,6,47624,7,2,5,8,8,5,8,8,5,5,9,8,8,8,6,8,8,8,8,3,8,0
544,1,2,23,5,4,3,8,36673,7,3,4,3,4,3,10,7,8,5,14,9,2,10,7,8,8,9,10,3,5,0.136363636
545,1,2,24,5,2,7,1,16767,7,2,4,10,2,2,5,5,4,7,5,4,7,4,3,4,5,5,2,1,6,0.1
546,1,2,30,8,2,3,4,24600,4,1,7,10,5,8,10,4,3,5,1,1,2,4,3,6,3,9,10,6,8,0.315789474
547,1,2,30,8,2,1,1,26889,3,1,7,9,6,9,7,8,8,2,2,8,9,4,9,8,9,9,6,5,6,0.15
548,1,2,30,8,2,8,8,35110,6,1,7,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7,0.25
549,1,2,28,8,2,2,3,44829,7,1,7,8,5,6,9,7,7,4,8,8,7,7,8,8,10,10,8,2,5,0.227272727
550,1,2,30,8,2,5,6,52546,4,1,7,5,3,5,9,7,8,3,3,8,8,3,7,7,4,6,6,3,7,0.19047619
551,1,2,27,8,1,2,1,55138,6,3,7,6,1,7,6,7,3,2,1,7,10,2,5,6,7,7,7,1,3,0.095238095
552,1,2,25,18,2,1,1,53210,2,1,15,8,2,5,10,10,10,7,1,9,8,3,7,9,10,10,7,3,10,0.25
